kernel_size,sigma,psnr,ssim,detail_ratio,rank_psnr,rank_ssim,detail_dev,rank_detail,rank_avg
3,0.5,25.537886553893912,0.8218564358016035,0.45061903953524507,1.0,13.0,0.5493809604647549,1.0,5.0
5,0.5,25.537886553893912,0.8218564358016035,0.45061903953524507,1.0,13.0,0.5493809604647549,1.0,5.0
9,0.5,25.537886553893912,0.8218564358016035,0.45061903953524507,1.0,13.0,0.5493809604647549,1.0,5.0
7,0.5,25.537886553893912,0.8218564358016035,0.45061903953524507,1.0,13.0,0.5493809604647549,1.0,5.0
7,1.0,25.43122364589345,0.860916072085741,0.07930904564175968,9.0,3.0,0.9206909543582403,9.0,7.0
9,1.0,25.43122364589345,0.860916072085741,0.07930904564175968,9.0,3.0,0.9206909543582403,9.0,7.0
3,1.5,25.481639264444343,0.85436954681224,0.11666281883835733,6.0,9.0,0.8833371811616426,6.0,7.0
3,1.0,25.51436102636443,0.8522529002533952,0.1313656234685588,5.0,11.0,0.8686343765314413,5.0,7.0
5,1.0,25.44366035626479,0.8603178352693382,0.08302811170820626,8.0,6.0,0.9169718882917938,8.0,7.333333333333333
3,2.0,25.468857677450522,0.8547457944057433,0.11511829616295927,7.0,8.0,0.8848817038370407,7.0,7.333333333333333
5,1.5,25.266203277128575,0.8622296600444213,0.04502459052278958,11.0,1.0,0.9549754094772104,11.0,7.666666666666667
7,1.5,25.15814081549789,0.8610518281227297,0.03435394713675884,13.0,2.0,0.9656460528632411,13.0,9.333333333333334
5,2.0,25.17635113986826,0.8600953463869712,0.03974669490180226,12.0,7.0,0.9602533050981977,12.0,10.333333333333334
9,1.5,25.125223969254492,0.8603363562313051,0.03266399528141642,14.0,5.0,0.9673360047185836,14.0,11.0
7,2.0,24.938429029371118,0.8531169879156173,0.02417286797195305,15.0,10.0,0.9758271320280469,15.0,13.333333333333334
9,2.0,24.814548558060324,0.8480043707491686,0.020323980416866033,16.0,12.0,0.979676019583134,16.0,14.666666666666666
