cutoff,order,psnr,ssim,detail_ratio,rank_psnr,rank_ssim,detail_dev,rank_detail,rank_avg
80.0,2,25.283961153612463,0.8224361847853559,0.5770644659581298,3.0,8.0,0.42293553404187023,5.0,5.333333333333333
110.0,1,25.29636987797625,0.8211056403936897,0.5376407243151334,1.0,9.0,0.46235927568486657,6.0,5.333333333333333
110.0,2,25.293267454316737,0.8053559527305402,0.6675714244520088,2.0,11.0,0.3324285755479912,3.0,5.333333333333333
110.0,4,25.26798155080764,0.7962452755089703,0.7619723374937091,4.0,12.0,0.23802766250629093,1.0,5.666666666666667
80.0,4,25.24883829335844,0.8129796981567304,0.7142445023354267,6.0,10.0,0.2857554976645733,2.0,6.0
50.0,4,25.048130300563752,0.8407706637344319,0.589301397203707,8.0,6.0,0.410698602796293,4.0,6.0
50.0,2,25.097765099539956,0.8491755476581722,0.4699713079795427,7.0,5.0,0.5300286920204573,7.0,6.333333333333333
80.0,1,25.25185138103705,0.8350084886703826,0.4425793805227694,5.0,7.0,0.5574206194772306,8.0,6.666666666666667
50.0,1,25.029922802351148,0.8528748582860621,0.32878637958224316,9.0,3.0,0.6712136204177568,9.0,7.0
30.0,2,24.55700999705299,0.8571455731069964,0.27318984421687875,10.0,1.0,0.7268101557831212,11.0,7.333333333333333
30.0,4,24.489529531856693,0.8493049295270009,0.2930076155949945,11.0,4.0,0.7069923844050054,10.0,8.333333333333334
30.0,1,24.48190290120623,0.8550825255855713,0.21754930803347639,12.0,2.0,0.7824506919665236,12.0,8.666666666666666
